품종명,에너지_레벨,훈련_용이성,보호_본능,털_빠짐,짖음_빈도,장난기,그루밍_필요성,침_흘림,털_길이,타견_친화력,낯선사람_친화력,최소_수명,최대_수명,최소_체고_수컷,최대_체고_수컷,최소_체고_암컷,최대_체고_암컷,최소_체중_수컷,최대_체중_수컷,최소_체중_암컷,최대_체중_암컷,기대_수명,설명,기질,색상,크기_분류,견종_그룹,역할,털_유형,아이_친화력,아파트_적합성,초보_적합성,사냥_본능,운동량,더위_내성,추위_내성
요크셔 테리어,4,3,2,1,4,4,5,1,4,3,3,13,16,7.0,9.0,7.0,9.0,4.0,7.0,4.0,7.0,4,쥐를 잡기 위해 사육된 토이 테리어; 길고 부드러운 코트로 자신감 있고 산뜻하게.,"거침없는, 기민한, 다정한, 대담한","파란색과 황갈색, 검정색과 황갈색, 파란색과 금색",토이,토이견,동반자와 래터,"실키, 싱글",3.0,5.0,3.0,3.0,3.0,3.0,2.0
복서,5,4,4,3,3,5,2,4,1,4,3,10,12,23.0,25.0,21.0,23.0,65.0,80.0,50.0,65.0,3,근육 작업 및 가족 보호; 활기차고 사람을 좋아하며 광대 같은 성향을 가지고 있습니다.,"장난기 많은, 충성스러운, 기민한, 활기 넘치는","새끼 사슴, 얼룩, 흰색이 있거나 없음",대형,작업견,수호자와 동반자,"매끄럽다, 짧다",4.0,2.0,3.0,2.0,4.0,2.0,2.0
시베리안 허스키,5,3,2,5,2,5,3,1,4,5,5,12,14,21.0,23.5,20.0,22.0,45.0,60.0,35.0,50.0,4,강한 무리 본능을 지닌 지구력 썰매개; 독립적이면서도 친근하고 매우 활동적입니다.,"다정한, 장난꾸러기, 독립적인, 온화한","검정색과 흰색, 회색과 흰색, 빨간색과 흰색, 아구티, 단색 흰색",중형,작업견,썰매개,"더블, 미디엄",4.0,2.0,2.0,5.0,5.0,1.0,5.0
그레이트 데인,3,3,4,2,2,3,2,5,1,3,3,7,10,30.0,32.0,28.0,30.0,140.0,175.0,110.0,140.0,2,우아함과 온화한 성격으로 유명한 거대 수호 품종. 공간과 적당한 운동이 필요합니다.,"온화하고, 신뢰할 수 있고, 조심스럽고, 애정이 넘칩니다.","새끼 사슴, 얼룩, 할리퀸, 맨틀, 파란색, 검정색",초대형,작업견,동반자 및 보호자,"매끄럽다, 짧다",4.0,3.0,2.0,2.0,3.0,3.0,2.0
도베르만 핀셔,5,5,5,2,3,4,2,1,1,3,2,10,12,26.0,28.0,24.0,26.0,75.0,95.0,60.0,80.0,3,보호 작업을 위해 설계된 세련된 가디언; 가족에 대한 강한 충성심으로 훈련이 잘되었습니다.,"기민함, 겁이 없음, 지능적, 활력이 넘침","검은색과 녹, 빨간색과 녹, 파란색과 녹, 황갈색과 녹",대형,작업견,보호견,"매끄럽다, 짧다",4.0,2.0,2.0,3.0,5.0,3.0,2.0
슈나우저,4,4,3,1,4,4,4,1,3,4,3,12,15,12.0,14.0,12.0,14.0,11.0,20.0,11.0,18.0,4,뻣뻣한 털을 가진 작은 농장 쥐; 가족 활동을 즐기는 활기 넘치는 감시견.,"활기차고, 친절하고, 똑똑하고, 경계심이 깊습니다.","소금과 후추, 검정, 검정 및 은색",소형,테리어,동반자와 래터,"와이어, 더블",4.0,4.0,4.0,3.0,3.0,3.0,3.0
카발리에 킹 찰스 스패니얼,3,4,2,3,3,4,3,1,3,5,5,12,15,12.0,13.0,12.0,13.0,13.0,18.0,13.0,18.0,4,반려견을 위해 사육된 토이 스패니얼; 온화하고 다정하며 다양한 가정에 적응할 수 있습니다.,"다정하고, 온화하고, 친절하고, 참을성이 많음","블렌하임, 삼색기, 블랙앤탠, 루비",토이,토이견,반려견 스패니얼,"부드러운, 깃털이 있는",5.0,5.0,5.0,2.0,2.0,3.0,2.0
시츄,2,3,2,2,3,3,5,2,4,4,4,10,16,9.0,10.5,9.0,10.5,9.0,16.0,9.0,16.0,4,길게 늘어진 털을 가진 반려 랩독; 짧은 놀이 시간을 즐기는 쾌활한 동거인.,"외향적, 다정함, 기민함, 매력적","금색, 흰색, 검정색, 얼룩무늬, 간색, 다양한 혼합",토이,토이견,동반자,길고 흐르는,4.0,5.0,4.0,1.0,1.0,2.0,2.0
보스턴 테리어,4,4,2,2,3,4,2,2,1,4,4,11,13,15.0,17.0,15.0,17.0,15.0,25.0,12.0,20.0,3,American Gentleman이라는 별명을 가진 컴팩트한 동반자; 최소한의 손질만으로 활기차면서도 매너있게.,"친절하고, 밝고, 재미있고, 적응력이 좋습니다","얼룩무늬와 흰색, 물개와 흰색, 검정색과 흰색",소형,비조렵견,동반자,"매끄럽다, 짧다",4.0,5.0,4.0,1.0,3.0,2.0,2.0
포메라니안,4,3,2,4,5,4,4,1,4,3,3,12,16,7.0,12.0,6.0,10.0,4.0,7.0,3.0,6.0,4,큰 개 태도를 지닌 작은 스피츠; 경계심이 강한 감시견이자 풍성한 털을 지닌 활기찬 동반자입니다.,"호기심이 많고, 대담하고, 활기차고, 외향적입니다.","오렌지, 블랙, 크림, 세이블, 다양한",토이,토이견,동반자,"더블, 플러시 천",3.0,5.0,4.0,1.0,2.0,2.0,3.0
셔틀랜드 쉽독,5,5,3,5,4,5,4,1,4,4,3,12,14,13.0,16.0,13.0,16.0,15.0,25.0,15.0,25.0,4,Sheltie라는 별명을 가진 작은 목동; 날카로운 지능과 풍부한 털로 인해 훈련과 활동에 성공합니다.,"밝고, 반응이 좋으며, 충성스럽고, 민감합니다.","세이블, 삼색, 블루멀, 바이블랙, 바이블루",소형,목양견,스톡독,"더블, 롱",4.0,3.0,4.0,2.0,4.0,2.0,4.0
보더 콜리,5,5,3,3,3,5,3,1,3,4,3,12,15,19.0,22.0,18.0,21.0,30.0,45.0,27.0,42.0,4,강인함과 눈썰미로 유명한 프리미어 양치기 개; 일상 업무와 고급 교육을 통해 성장합니다.,"강렬하고, 똑똑하고, 활기차고, 반응이 좋습니다.","검정색과 흰색, 삼색기, 빨간색과 흰색, 파란색 멀, 다양한",중형,목양견,양치기 개,거칠거나 매끄럽고 밀도가 높으며 이중,3.0,1.0,1.0,3.0,5.0,3.0,4.0
마스티프,2,3,5,2,2,2,2,5,1,3,2,6,10,30.0,32.0,27.0,30.0,160.0,230.0,120.0,170.0,2,거대한 크기의 고대 수호 품종; 조용하고 집에서는 헌신적이며 세심한 관리가 필요합니다.,"위엄 있고, 충성스럽고, 보호적이며, 온화한","새끼 사슴, 살구, 얼룩 (검은 색 마스크 포함)",초대형,작업견,보호자와 보호자,"짧다, 가깝다, 조밀하다",4.0,1.0,2.0,2.0,2.0,2.0,4.0
테리어,4,4,4,2,3,4,3,1,3,3,3,11,14,23.0,24.0,22.0,23.0,50.0,70.0,40.0,55.0,3,사냥과 경비를 위해 사육된 가장 큰 테리어입니다. 대담하고 자신감 넘치는 정력적인 직원.,"기민함, 대담함, 다재다능함, 친근함",검정색 안장이 있는 황갈색,중형,테리어,다재다능한 사냥꾼이자 동반자,"단단한, 조밀한, 철사 같은",4.0,2.0,2.0,4.0,4.0,3.0,3.0
핏불 테리어,4,4,4,2,2,4,1,2,1,2,3,12,14,18.0,21.0,17.0,20.0,50.0,70.0,40.0,60.0,4,농장과 어획량 작업을 위해 개발된 운동 능력이 뛰어난 불 앤 테리어; 사람 중심적이고 열정적이며 구조가 필요합니다.,자신감 있고 애정이 넘치며 추진력이 있고 끈기 있음,"빨간색, 엷은 황갈색, 얼룩무늬, 검정색, 흰색, 파란색; 종종 흰색 표시가 있음",중형,테리어,개와 농장 동료를 잡아라,"짧고, 광택이 있고, 매끄럽다",4.0,3.0,1.0,4.0,4.0,3.0,2.0
잉글리시 코커 스패니얼,4,4,2,3,3,4,3,1,3,4,4,12,14,16.0,17.0,15.0,16.0,28.0,34.0,26.0,32.0,4,현장에서 자란 플러싱 스패니얼; 명랑하고 애정이 넘치며 꾸준한 운동 욕구에 열성적입니다.,"명랑하고, 다정하고, 반응이 좋고, 예민하다","블루 론, 간 론, 블랙, 레드, 골든, 파티 컬러",중형,조렵견,새 개를 씻어내고 회수하는 중,"중간 크기, 부드러움, 편평함 또는 약간 물결 모양, 깃털 있음",5.0,4.0,4.0,4.0,4.0,3.0,3.0
아이리시 세터,5,4,2,3,3,5,3,1,4,4,5,12,15,27.0,27.0,25.0,25.0,65.0,75.0,55.0,65.0,4,하루 종일 현장 작업을 위해 제작된 화려한 빨간색 총견; 사람을 좋아하고 활발한 놀이를 좋아합니다.,"열성적인, 다정한, 활력이 넘치는, 열정적인",진한 밤/빨간색,대형,조렵견,새 개; 세터,"길고, 매끄럽고, 곧고, 깃털이 있다",5.0,3.0,4.0,4.0,5.0,3.0,3.0
하운드,3,3,1,2,1,3,1,1,1,4,4,10,14,28.0,30.0,27.0,28.0,65.0,85.0,60.0,70.0,3,고전적인 질주 시력하운드; 폭발적인 속도로 폭발하는 차분한 소파 동반자.,"온화함, 공손함, 예민함, 운동능력이 있음","검정색, 엷은 황갈색, 얼룩무늬, 파란색, 흰색, 다양한",대형,하운드,시각하운드; 코스 및 레이싱 단거리 선수,짧고 매끄럽다,4.0,5.0,4.0,5.0,3.0,3.0,2.0
휘핏,4,4,1,2,2,4,1,1,1,4,4,12,15,19.0,22.0,18.0,21.0,25.0,40.0,20.0,35.0,4,토끼 추적을 위해 제작된 중형 시각하운드; 다정하고 깨끗하며 스프린트 플레이를 좋아합니다.,"온화하다, 상냥하다, 빠르다, 다정하다","얼룩, 엷은 황갈색, 파란색, 검정색, 흰색, 다양한",중형,하운드,경주와 추적 사냥개,"짧고, 가깝고, 매끄럽고 단단하다",4.0,4.0,3.0,5.0,5.0,3.0,2.0
세인트 버나드,2,3,4,3,2,2,3,5,3,4,4,8,10,28.0,30.0,26.0,28.0,140.0,180.0,120.0,160.0,2,알파인 구조 거인; 친절하고 꾸준하며 공간과 잠꼬대가 필요합니다.,"온화하고, 친절하고, 조심스럽고, 침착합니다.","빨간색과 흰색, 얼룩무늬와 흰색, 마호가니와 흰색",초대형,작업견,알파인 구조견,매우 촘촘한 짧은 털; 장모 유형은 중간 길이의 일반 털에서 약간 물결 모양의 털을 가지고 있습니다.,5.0,1.0,3.0,1.0,2.0,1.0,5.0
벨지안 마리노이즈,5,5,5,4,3,5,2,1,2,3,2,14,16,24.0,26.0,22.0,24.0,60.0,80.0,40.0,60.0,5,강렬한 경찰과 목양견견; 직장에서 탁월하고 일상적인 업무와 구조를 요구합니다.,"집중력, 추진력, 자신감, 기민함",검은 마스크를 쓴 새끼 사슴에서 마호가니로,대형,목양견,가축 방목 및 경비견,촘촘한 속털과 깃이 있는 짧고 곧은 몸에 꼭 맞는 털,3.0,1.0,1.0,4.0,5.0,3.0,3.0
아키타,3,3,5,4,2,3,3,2,3,2,2,10,13,26.0,28.0,24.0,26.0,100.0,130.0,70.0,100.0,3,대형 가디언 스피츠; 충성스럽고 당당하며 확고하고 일관된 취급이 필요합니다.,위엄 있고 충성스럽고 의지가 강하며 내성적입니다.,"흰색, 얼룩무늬, 빨간색, 참깨, 마스크 유무에 관계없이",대형,작업견,가족의 보호자이자 후견인,두껍고 부드럽고 촘촘한 속털과 곧고 거친 겉털로 이루어진 이중털,3.0,2.0,1.0,3.0,4.0,2.0,4.0
차우차우,2,2,4,4,2,2,4,1,4,2,2,11,13,19.0,21.0,18.0,20.0,55.0,70.0,45.0,60.0,3,사자 갈기 수호자; 고양이 같고 냉담하며 가족과 긴밀하게 유대 관계를 맺습니다.,"냉담한, 충성스러운, 독립적인, 주의 깊은","레드, 블랙, 블루, 시나몬, 크림",중형,비조렵견,"다용도 사냥꾼, 목동, 끌어당기는 사람, 집 보호자",겉털이 풍부하고 털이 많은 속털이 있는 거칠거나 매끄러운 이중 털,2.0,4.0,2.0,2.0,2.0,2.0,4.0
샤페이,3,3,4,2,3,3,2,3,1,2,2,10,12,18.0,20.0,18.0,20.0,50.0,60.0,45.0,55.0,3,주름진 감시견은 종종 샤페이(Shar-Pei)로 줄여집니다. 조용하지만 낯선 사람에게는 내성적일 수 있습니다.,"충성심, 차분함, 독립적, 주의 깊은","새끼 사슴, 빨강, 검정, 크림, 세이블",중형,비조렵견,반려견과 수호견,말털부터 브러시털까지 극도로 거친 짧은 털,3.0,3.0,2.0,2.0,3.0,2.0,3.0
말티즈,3,3,2,1,3,3,4,1,4,4,4,14,15,8.0,10.0,8.0,10.0,6.0,9.0,6.0,9.0,4,흐르는 코트를 입은 고대 토이 동반자; 온화하고 활기차고 헌신적인 사람들.,"온화하고, 장난스럽고, 다정하고, 주의가 깊다",하얀색,토이,토이견,토이 동반자,속털이 없는 길고 편평하며 부드러운 흰색 털의 단일 털,4.0,5.0,4.0,1.0,2.0,3.0,1.0
라사 압소,2,3,3,2,3,3,5,1,5,3,3,12,15,10.0,11.0,10.0,11.0,12.0,18.0,12.0,18.0,4,사원 파수꾼이 동반자가 되었습니다. 자신감 있고 조심스럽고 오랫동안 코팅되어 있습니다.,"독립적이고, 충성스럽고, 기민하며, 위엄이 있습니다.","골드, 크림, 블랙, 그리즐, 각종",소형,비조렵견,파수꾼과 동료,"헤비, 촘촘, 더블, 스트레이트 롱 코트",3.0,4.0,2.0,1.0,2.0,2.0,4.0
빠삐용,4,5,2,2,3,5,3,1,3,4,4,14,16,8.0,11.0,8.0,11.0,5.0,10.0,5.0,10.0,5,나비 귀 토이 발바리; 밝고 민첩하며 훈련과 게임을 좋아합니다.,"밝고, 친절하고, 활기차고, 열정적입니다.","검정색, 빨간색, 세이블, 레몬 패치가 있는 흰색",토이,토이견,반려견,"길고, 가늘고, 매끄럽고, 흐르는 듯한 직선적인 털로 속털이 없습니다.",3.0,4.0,4.0,2.0,3.0,3.0,2.0
퍼그,2,3,2,3,2,3,2,3,1,4,4,12,15,10.0,13.0,10.0,13.0,14.0,18.0,14.0,18.0,4,매력적인 광대 같은 동반자; 친밀감을 갈망하는 튼튼하고 작은 집개.,"매력적이고, 장난스럽고, 사랑스럽고, 강인한","새끼 사슴, 검정색",소형,토이견,반려견,미세하고 매끄럽고 부드러우며 짧고 윤기 나는 털,5.0,5.0,4.0,1.0,2.0,1.0,2.0
치와와,3,3,3,2,4,3,2,1,2,3,3,14,16,6.0,9.0,6.0,9.0,3.0,6.0,3.0,6.0,5,큰 목소리를 지닌 작은 동반자; 경고 감시견과 헌신적인 랩독.,"헌신적, 기민함, 대담함, 활발함","폰, 블랙, 초콜릿, 크림, 다양한 믹스",토이,토이견,반려견,"부드럽거나 길다; 매끄러운 것은 가깝고 광택이 나는 것이며, 긴 것은 평평하거나 약간 물결 모양입니다.",2.0,5.0,3.0,2.0,2.0,3.0,1.0
미니어처 핀셔,4,4,3,2,3,4,1,1,1,3,3,12,15,10.0,12.5,10.0,12.5,8.0,12.0,8.0,12.0,4,높은 에너지를 지닌 작은 수호자/래터; 두려움이 없고 호기심이 많으며 생기가 넘칩니다.,"두려움이 없고, 호기심이 많으며, 활기차고, 대담합니다.","빨강, 검정 및 녹, 초콜릿 및 녹",소형,토이견,해충 포수 및 동반자,짧고 매끄럽고 윤기나는 털,3.0,4.0,2.0,4.0,4.0,3.0,2.0
잭 러셀 테리어,5,4,3,2,4,5,2,1,2,3,3,13,15,12.0,14.0,12.0,14.0,13.0,17.0,13.0,17.0,4,불 같은 여우 일하는 테리어; 지치지 않고 날카로우며 활동성과 확고한 일관성이 필요합니다.,"대담하고, 활기차고, 영리하고, 추진력이 있습니다.",검정색 또는 황갈색 표시가 있는 흰색,소형,테리어,여우 사냥 테리어와 해충 사냥꾼,"조밀하고 단단하며 내후성이 뛰어납니다. 매끄럽고, 거칠고, 뻣뻣한 털",3.0,2.0,1.0,5.0,5.0,3.0,3.0
폭스 테리어,5,4,3,2,3,5,3,1,2,3,4,12,15,15.0,15.5,14.0,15.0,15.0,18.0,13.0,18.0,4,와이어 코팅 폭스 볼트 앤 베이 테리어; 매우 활력이 넘치고 영리합니다.,"친절하고, 대담하고, 빠르고, 독단적입니다.",검정색 또는 황갈색 표시가 있는 흰색,소형,테리어,여우 사냥꾼과 동반자,촘촘한 와이어리 살짝 웨이브가 있는 더블 코트,3.0,3.0,2.0,5.0,4.0,3.0,3.0
불마스티프,2,3,5,2,2,3,2,4,1,2,2,8,10,25.0,27.0,24.0,26.0,110.0,130.0,90.0,110.0,2,"사냥터지기의 야견; 거대하지만 꾸준하고, 천성적으로 보호적이며, 차분한 리더십이 필요합니다.","충성심, 경계심, 두려움 없음, 내성적","새끼 사슴, 빨강, 얼룩 (검은 색 마스크)",초대형,작업견,부동산 경비원 및 밀렵꾼 억제,짧고 촘촘한 날씨 보호 코트,4.0,2.0,2.0,2.0,3.0,2.0,4.0
바셋 하운드,2,2,2,3,4,3,2,3,1,4,4,12,13,12.0,15.0,12.0,14.0,55.0,75.0,45.0,65.0,3,강력한 코를 가진 낮고 긴 냄새 사냥개; 참을성 있고 유머러스하며 통제된 운동이 필요합니다.,"여유로운, 헌신적인, 인내심 있는, 완고한","삼색, 레몬과 흰색, 빨간색과 흰색",중형,하운드,토끼와 토끼 뒤를 추적하는 냄새 사냥개,"짧고, 매끄럽고, 단단하다",5.0,3.0,3.0,4.0,2.0,2.0,2.0
코커 스패니얼,4,4,2,3,3,4,4,1,3,4,4,12,15,14.5,15.5,13.5,14.5,25.0,30.0,20.0,28.0,4,가장 작은 조렵견용 발바리; 명랑하고 부드러우며 정기적인 털 관리와 운동이 필요합니다.,즐겁고 애정이 넘치며 반응이 좋고 온화합니다,"블랙, 버프, 초콜릿, 파티 컬러",소형,조렵견,새 개를 씻어내고 회수하는 것; 동반자,"중간 길이, 부드러움, 편평하거나 약간 물결 모양, 깃털이 있음",5.0,4.0,4.0,3.0,3.0,3.0,2.0
폭스하운드,5,3,2,3,4,4,1,1,1,5,4,10,13,24.0,24.0,23.0,24.0,65.0,75.0,60.0,70.0,3,기마 사냥을 위한 냄새하운드를 준비하세요. 체력이 높고 달릴 공간이 가장 좋습니다.,"온화한, 활동적인, 단호한, 무리 지향적","삼색, 검정색 황갈색 및 흰색, 레몬색 및 흰색",대형,하운드,여우 사냥 무리 사냥개,"짧고, 조밀하고, 단단하고, 광택이 난다.",4.0,1.0,1.0,5.0,5.0,3.0,3.0
맨체스터 테리어,4,4,3,2,3,4,2,1,2,3,3,12,15,16.0,16.0,15.0,15.0,12.0,22.0,12.0,22.0,4,스포티한 구조의 매끄러운 래터; 날카로운 감시견이자 활발한 동반자.,"밝고, 활기차고, 관찰력이 뛰어나고, 충성스럽습니다.",검정색과 황갈색,소형,테리어,해충 살인자 및 소형 사냥감 사냥꾼,"매끄럽고, 짧고, 조밀하고, 촘촘하고 광택이 난다.",3.0,4.0,3.0,5.0,4.0,3.0,2.0
불 테리어,4,3,3,2,3,4,2,2,2,3,3,10,14,21.0,22.0,20.0,21.0,50.0,70.0,45.0,60.0,3,근육질의 검투사에서 동료로 변신한 사람; 장난스럽고 완고하며 사람을 좋아합니다.,"장난스럽고, 용감하고, 완고하고, 다정한","흰색, 유색, 얼룩, 트라이",대형,테리어,동반자 테리어,짧고 편평하며 거친 털과 고운 광택,3.0,2.0,1.0,4.0,4.0,3.0,2.0
실키 테리어,4,4,2,2,4,4,3,1,4,3,3,13,15,9.0,10.0,9.0,10.0,8.0,11.0,7.0,10.0,4,흐르는 털을 가진 토이 테리어; 밝고 쾌활하며 훈련을 즐깁니다.,"기민하고, 친절하고, 호기심이 많으며, 활기가 넘칩니다.",파란색과 황갈색,토이,토이견,국내 설치류 사냥꾼 및 동반자,"직선형, 단일형, 윤기 있고 부드러운 털",3.0,5.0,3.0,3.0,3.0,3.0,2.0
차이니즈 크레스티드,3,4,2,1,3,3,3,1,2,3,4,13,15,11.0,13.0,11.0,13.0,8.0,12.0,8.0,12.0,4,털이 없거나 파우더퍼프 동반자; 민첩하고 다정하며 랩 타임을 좋아합니다.,"다정하고, 장난스럽고, 주의가 깊고, 민감합니다.",다양한 피부색과 털색,토이,토이견,반려견,"머리, 꼬리, 발에 털이 있는 털이 없는 변종; 파우더퍼프 품종은 부드럽고 매끄러운 이중 코트를 가지고 있습니다.",3.0,5.0,4.0,1.0,2.0,4.0,1.0
페키니즈,2,2,3,4,3,2,4,2,5,3,3,12,14,6.0,9.0,6.0,9.0,8.0,14.0,7.0,12.0,4,사자 갈기를 가진 제국의 랩독; 용감하고 품위 있고 운동량이 적습니다.,"위엄 있고, 충성스럽고, 용감하고, 독단적입니다.","새끼 사슴, 빨강, 검정, 크림, 세이블",토이,토이견,왕실 동반자,두껍고 부드러운 속털과 갈기가 있는 길고 거친 질감의 곧은 바깥털,2.0,5.0,2.0,1.0,1.0,2.0,2.0
허스키,5,4,2,4,3,4,2,1,2,4,3,12,15,23.0,26.0,21.0,24.0,45.0,60.0,35.0,50.0,4,"성능에 맞게 사육된 썰매개; 빠르고, 지속적이고, 팀 내에서 성공적으로 운영됩니다.",운동 능력이 뛰어나고 집중적이며 사교적이며 추진력이 있습니다.,다양한 썰매개 색상과 패턴,중형,작업견,목적에 맞게 자란 썰매개,추운 환경에서 지구력 작업에 적합한 미디엄 더블 코트,4.0,2.0,2.0,4.0,5.0,2.0,5.0
오스트레일리안 켈피,5,5,3,3,3,4,2,1,2,2,4,12,16,18.0,20.0,17.0,19.0,35.0,50.0,30.0,42.0,4,지칠 줄 모르는 재고 이동자; 생각이 빠르고 힘든 일상 업무에 가장 행복합니다.,"똑똑하고, 강렬하고, 열망하고, 헌신적입니다.","검정, 빨강, 초콜렛, 황갈색 유무에 관계없이 황갈색",중형,목양견,양치기 개,짧고 촘촘한 속털과 곧고 단단한 겉털로 이루어진 내후성 이중 털,4.0,1.0,1.0,3.0,5.0,4.0,3.0
벨지안 라케노이즈,4,4,4,3,3,3,3,1,3,3,3,10,14,24.0,26.0,22.0,24.0,60.0,70.0,50.0,60.0,3,거친 코팅의 벨기에 목동; 강한 추진력과 충성심을 지닌 경계심 많은 수호자.,경계심이 강하고 지능적이며 헌신적이며 낯선 사람을 경계합니다.,"새끼 사슴, 마호가니, 검정색 오버레이",대형,목양견,양떼와 들판을 보호하십시오. 사람과 재산을 보호,총구 가구가 있는 약 6cm의 거칠고 건조하며 헝클어진 이중 코트,3.0,1.0,1.0,3.0,5.0,3.0,4.0
