아이디,이름,나이(월),품종,성별,색상1,색상2,색상3,크기,털길이,예방접종,구충여부,중성화,지역,건강 상태,사회도,친화도,활동성,상세설명
e83f846eb,여름,3,믹스견,수컷,크림색,없음,없음,중형,단모,미완료,완료,완료,전북,4,4,3,5,세상에서 가장 야무진 여름이를 소개합니다. 크림색 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
62550cf78,호랑,3,코커 스패니얼,암컷,갈색,없음,없음,소형,단모,미완료,미완료,미완료,부산,4,5,4,5,통통 튀는 걸음걸이가 매력적인 호랑! 멋진 갈색 색을 가진 코커 스패니얼 친구와 평생 가족이 되어주세요.
701c5afba,짬뽕,2,믹스견,수컷,검정,갈색,흰색,중형,중모,완료,완료,미완료,서울,4,5,4,5,활동량이 풍부한 짬뽕이와 함께 산책 어떠신가요? 검정 털을 가진 멋진 믹스견 친구입니다.
7bce76c66,라떼,22,시츄,암컷,크림색,흰색,없음,중형,단모,완료,완료,미완료,경기,5,3,5,4,라떼은(는) 정말 사랑스러운 시츄 친구예요. 크림색 털이 매력 포인트이며 누구와도 잘 지내요.
3b0b88ac2,치즈,60,푸들,암컷,갈색,없음,없음,소형,장모,완료,완료,완료,인천,3,5,5,4,구조 후 잘 적응 중인 치즈! 푸들 특유의 영리함과 갈색 털이 돋보입니다. 가족을 기다려요.
d5b9e0322,구슬,5,래브라도 리트리버,암컷,검정,없음,없음,중형,중모,완료,완료,미완료,서울,4,4,5,4,애교가 철철 넘치는 구슬! 검정 털이 부드러운 래브라도 리트리버 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
1c59cecac,쿠키,18,비글,암컷,갈색,흰색,없음,중형,단모,완료,완료,완료,광주,5,3,5,3,쿠키은(는) 갈색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 비글 아이랍니다. 밝은 에너지가 넘쳐요.
e7e1904f4,뚱이,14,믹스견,수컷,갈색,없음,없음,대형,중모,완료,완료,완료,경북,4,3,3,5,애교가 철철 넘치는 뚱이! 갈색 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
0443d6f82,여덟,1,콜리,암컷,검정,크림색,없음,중형,단모,미완료,미완료,미완료,서울,3,5,3,3,멋진 포스를 풍기는 여덟! 하지만 마음은 따뜻한 콜리 아이랍니다. 검정 털이 아주 부드러워요.
d4d6997e3,유성,3,믹스견,암컷,갈색,없음,없음,중형,단모,불확실,불확실,불확실,경기,5,5,3,4,"차분하고 순한 성격의 유성입니다. 갈색 색상의 믹스견 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
d13d93f69,별이,3,믹스견,수컷,크림색,흰색,없음,중형,중모,미완료,미완료,미완료,인천,3,5,3,5,구조 후 잘 적응 중인 별이! 믹스견 특유의 영리함과 크림색 털이 돋보입니다. 가족을 기다려요.
a4530b1d0,호랑,1,믹스견,수컷,갈색,흰색,없음,중형,중모,미완료,미완료,미완료,울산,4,3,3,3,간식을 기다릴 때 가장 진지한 호랑이에요. 갈색 털의 귀여운 믹스견으로 호기심이 아주 많답니다.
0fb490c9b,호야,2,믹스견,암컷,갈색,흰색,없음,중형,중모,완료,완료,미완료,경북,4,4,3,4,"반짝이는 눈망울을 가진 호야. 갈색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
e3d9dc96d,밤이,7,믹스견,수컷,갈색,흰색,없음,중형,중모,완료,불확실,불확실,충남,5,5,4,3,"차분하고 순한 성격의 밤이입니다. 갈색 색상의 믹스견 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
a672ea96d,일곱,5,비글,암컷,검정,갈색,흰색,중형,단모,불확실,불확실,불확실,대전,4,4,3,3,"반짝이는 눈망울을 가진 일곱. 검정 색상의 비글 아이로, 아주 영리하고 배우는 게 빠릅니다."
bf50b399e,사흘,48,푸들,수컷,흰색,없음,없음,소형,단모,완료,완료,미완료,경남,3,5,5,5,통통 튀는 걸음걸이가 매력적인 사흘! 멋진 흰색 색을 가진 푸들 친구와 평생 가족이 되어주세요.
4060caeb1,도토리,2,믹스견,수컷,갈색,없음,없음,중형,단모,미완료,미완료,미완료,인천,5,3,3,5,통통 튀는 걸음걸이가 매력적인 도토리! 멋진 갈색 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
0f122f712,별이,7,벨지안 라케노이즈,암컷,갈색,없음,없음,대형,중모,완료,완료,미완료,경북,5,3,3,3,표정은 세상 진지한 별이! 갈색 털이 매력적인 벨지안 라케노이즈 친구예요. 호기심도 많고 아주 씩씩하답니다.
e2f1f5377,연두,25,슈나우저,수컷,회색,흰색,없음,중형,장모,완료,완료,미완료,경북,4,3,3,5,연두은(는) 정말 사랑스러운 슈나우저 친구예요. 회색 털이 매력 포인트이며 누구와도 잘 지내요.
084874570,행성,10,래브라도 리트리버,암컷,검정,흰색,없음,중형,중모,완료,완료,미완료,대전,3,3,5,3,활동량이 풍부한 행성이와 함께 산책 어떠신가요? 검정 털을 가진 멋진 래브라도 리트리버 친구입니다.
3cc84c2f8,알밤,1,믹스견,암컷,검정,금색,없음,중형,중모,미완료,미완료,미완료,대구,4,4,3,3,처음엔 쑥스러워하지만 금방 친해지는 알밤! 검정 털의 소중한 믹스견 천사를 만나보세요.
fb3bd80d1,고구마,1,믹스견,암컷,검정,갈색,흰색,대형,단모,미완료,미완료,미완료,경남,4,4,5,5,고구마은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 믹스견 아이랍니다. 밝은 에너지가 넘쳐요.
76d5726c4,호랑,72,저먼 셰퍼드,암컷,검정,갈색,금색,대형,장모,완료,완료,미완료,경기,4,3,3,4,세상에서 가장 야무진 호랑이를 소개합니다. 검정 색상의 저먼 셰퍼드이며 주사도 씩씩하게 잘 맞는 천사예요.
85a79f281,럭키,2,믹스견,수컷,검정,갈색,없음,중형,단모,불확실,불확실,미완료,경기,5,4,5,3,"반짝이는 눈망울을 가진 럭키. 검정 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
91d6a2898,예쁜,3,믹스견,수컷,갈색,없음,없음,중형,단모,완료,완료,완료,경기,3,3,3,5,"반짝이는 눈망울을 가진 예쁜. 갈색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
cfddf0c47,하늘,4,믹스견,수컷,검정,갈색,없음,중형,단모,미완료,미완료,미완료,경기,3,4,3,5,"차분하고 순한 성격의 하늘입니다. 검정 색상의 믹스견 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
072ae6d9e,둥이,36,테리어,수컷,검정,흰색,없음,중형,중모,완료,완료,완료,충북,3,4,5,5,표정은 세상 진지한 둥이! 검정 털이 매력적인 테리어 친구예요. 호기심도 많고 아주 씩씩하답니다.
b5df81f99,이요르,4,믹스견,암컷,흰색,없음,없음,중형,단모,완료,완료,미완료,서울,4,4,5,3,"사람을 정말 좋아하는 이요르이에요. 흰색 코트가 멋진 믹스견으로, 순하고 맑은 눈망울을 가졌어요."
2c24655fe,뚱이,5,코기,수컷,검정,흰색,없음,소형,중모,완료,완료,미완료,인천,4,5,4,3,"반짝이는 눈망울을 가진 뚱이. 검정 색상의 코기 아이로, 아주 영리하고 배우는 게 빠릅니다."
c8208c3c9,단풍,2,믹스견,암컷,검정,갈색,없음,중형,단모,미완료,미완료,미완료,경기,3,3,3,4,애교가 철철 넘치는 단풍! 검정 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
3b0b2a86a,옥수수,3,슈나우저,수컷,회색,흰색,없음,소형,중모,완료,완료,미완료,전북,3,4,5,4,옥수수은(는) 회색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 슈나우저 아이랍니다. 밝은 에너지가 넘쳐요.
0e6dd5e23,고래,8,푸들,암컷,갈색,없음,없음,소형,단모,완료,완료,불확실,제주,5,4,5,5,세상에서 가장 야무진 고래이를 소개합니다. 갈색 색상의 푸들이며 주사도 씩씩하게 잘 맞는 천사예요.
60b188249,바늘,5,믹스견,수컷,검정,갈색,금색,중형,단모,완료,완료,미완료,경기,4,4,5,4,"사람을 정말 좋아하는 바늘이에요. 검정 코트가 멋진 믹스견으로, 순하고 맑은 눈망울을 가졌어요."
9f533475e,소미,2,믹스견,암컷,갈색,흰색,없음,중형,중모,완료,완료,미완료,서울,3,3,5,4,활동량이 풍부한 소미이와 함께 산책 어떠신가요? 갈색 털을 가진 멋진 믹스견 친구입니다.
0636650db,까미,36,슈나우저,암컷,회색,흰색,없음,중형,중모,완료,완료,미완료,경기,4,3,3,5,통통 튀는 걸음걸이가 매력적인 까미! 멋진 회색 색을 가진 슈나우저 친구와 평생 가족이 되어주세요.
2cea63a41,푸우,2,믹스견,수컷,검정,갈색,흰색,중형,중모,완료,완료,미완료,경기,3,3,3,4,멋진 포스를 풍기는 푸우! 하지만 마음은 따뜻한 믹스견 아이랍니다. 검정 털이 아주 부드러워요.
da8a47785,점박,3,믹스견,수컷,갈색,없음,없음,중형,단모,미완료,미완료,미완료,서울,5,3,4,5,점박은(는) 갈색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 믹스견 아이랍니다. 밝은 에너지가 넘쳐요.
fff24fcb5,햇님,4,래브라도 리트리버,암컷,검정,크림색,없음,중형,중모,완료,완료,미완료,경기,5,4,3,5,통통 튀는 걸음걸이가 매력적인 햇님! 멋진 검정 색을 가진 래브라도 리트리버 친구와 평생 가족이 되어주세요.
dc56ff89a,호랑,1,믹스견,수컷,검정,갈색,흰색,중형,단모,완료,완료,미완료,경남,5,3,4,4,애교가 철철 넘치는 호랑! 검정 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
0b8614414,무지개,2,믹스견,암컷,검정,갈색,흰색,중형,단모,미완료,미완료,불확실,경기,5,5,3,4,애교가 철철 넘치는 무지개! 검정 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
1ffb40e20,쿠키,2,믹스견,수컷,흰색,없음,없음,중형,단모,완료,완료,미완료,서울,3,5,5,3,처음엔 쑥스러워하지만 금방 친해지는 쿠키! 흰색 털의 소중한 믹스견 천사를 만나보세요.
cfe285c5f,백구,60,비글,수컷,검정,갈색,흰색,중형,중모,미완료,완료,미완료,광주,5,3,4,4,간식을 기다릴 때 가장 진지한 백구이에요. 검정 털의 귀여운 비글으로 호기심이 아주 많답니다.
37bf6da18,코코아,6,골든 리트리버,암컷,검정,없음,없음,중형,단모,완료,완료,불확실,경기,3,5,3,5,애교가 철철 넘치는 코코아! 검정 털이 부드러운 골든 리트리버 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
7b8924342,뿌리,24,래브라도 리트리버,수컷,검정,흰색,없음,대형,중모,완료,완료,미완료,울산,5,3,3,4,뿌리은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 래브라도 리트리버 아이랍니다. 밝은 에너지가 넘쳐요.
fbaec0999,바다,2,믹스견,수컷,흰색,없음,없음,중형,중모,미완료,미완료,미완료,경기,4,4,3,3,바다은(는) 정말 사랑스러운 믹스견 친구예요. 흰색 털이 매력 포인트이며 누구와도 잘 지내요.
4bff9728d,미르,84,믹스견,암컷,회색,없음,없음,소형,단모,완료,완료,완료,서울,5,4,3,5,애교가 철철 넘치는 미르! 회색 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
77fa5cdd7,심바,7,골든 리트리버,암컷,갈색,없음,없음,대형,장모,완료,완료,미완료,충북,5,4,4,3,"이 구역의 최고 귀염둥이 심바! 갈색 털을 가진 골든 리트리버 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
9ef475fbe,소미,1,믹스견,암컷,갈색,흰색,없음,중형,단모,미완료,미완료,미완료,대전,5,4,3,5,통통 튀는 걸음걸이가 매력적인 소미! 멋진 갈색 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
7ca780c35,서리,2,믹스견,수컷,검정,흰색,없음,중형,단모,미완료,미완료,미완료,경남,3,4,4,5,처음엔 쑥스러워하지만 금방 친해지는 서리! 검정 털의 소중한 믹스견 천사를 만나보세요.
c039154f9,별님,2,믹스견,수컷,크림색,없음,없음,대형,단모,불확실,불확실,불확실,서울,5,3,5,5,"이 구역의 최고 귀염둥이 별님! 크림색 털을 가진 믹스견 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
4be73c550,뭉치,1,슈나우저,수컷,흰색,없음,없음,소형,단모,미완료,완료,미완료,충북,4,5,5,3,활동량이 풍부한 뭉치이와 함께 산책 어떠신가요? 흰색 털을 가진 멋진 슈나우저 친구입니다.
4683d863b,금동,1,믹스견,암컷,검정,흰색,없음,중형,단모,불확실,불확실,불확실,경남,3,4,5,5,애교가 철철 넘치는 금동! 검정 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
842528c2a,호떡,2,믹스견,수컷,갈색,크림색,흰색,중형,단모,미완료,미완료,미완료,대구,4,5,5,3,간식을 기다릴 때 가장 진지한 호떡이에요. 갈색 털의 귀여운 믹스견으로 호기심이 아주 많답니다.
d83aa1f02,루이,30,시베리안 허스키,암컷,검정,금색,크림색,대형,장모,완료,완료,완료,전남,5,5,5,5,표정은 세상 진지한 루이! 검정 털이 매력적인 시베리안 허스키 친구예요. 호기심도 많고 아주 씩씩하답니다.
ff7ff0f3c,건강,3,믹스견,수컷,갈색,없음,없음,중형,단모,미완료,완료,미완료,울산,4,4,4,4,세상에서 가장 야무진 건강이를 소개합니다. 갈색 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
d0b61aedc,매끈,3,믹스견,수컷,검정,흰색,없음,대형,중모,완료,완료,미완료,제주,3,5,5,3,활동량이 풍부한 매끈이와 함께 산책 어떠신가요? 검정 털을 가진 멋진 믹스견 친구입니다.
defc7be05,구슬,2,믹스견,암컷,검정,갈색,없음,중형,단모,불확실,완료,미완료,전남,5,4,3,3,처음엔 쑥스러워하지만 금방 친해지는 구슬! 검정 털의 소중한 믹스견 천사를 만나보세요.
8c17f26c4,쌩쌩,3,저먼 핀셔,암컷,검정,갈색,없음,중형,중모,미완료,미완료,미완료,경북,4,3,5,5,간식을 기다릴 때 가장 진지한 쌩쌩이에요. 검정 털의 귀여운 저먼 핀셔으로 호기심이 아주 많답니다.
c517992c8,두부,24,시츄,수컷,회색,흰색,없음,소형,장모,불확실,불확실,불확실,광주,3,4,4,5,"반짝이는 눈망울을 가진 두부. 회색 색상의 시츄 아이로, 아주 영리하고 배우는 게 빠릅니다."
c37cd2095,두부,84,래브라도 리트리버,수컷,크림색,없음,없음,대형,중모,불확실,불확실,불확실,대전,5,5,3,5,두부은(는) 정말 사랑스러운 래브라도 리트리버 친구예요. 크림색 털이 매력 포인트이며 누구와도 잘 지내요.
fb0180584,막둥,5,믹스견,수컷,금색,없음,없음,중형,단모,완료,완료,미완료,충남,5,4,5,5,애교가 철철 넘치는 막둥! 금색 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
12f9b8e6c,건강,48,포메라니안,수컷,갈색,금색,없음,소형,중모,완료,완료,미완료,인천,5,5,5,4,"반짝이는 눈망울을 가진 건강. 갈색 색상의 포메라니안 아이로, 아주 영리하고 배우는 게 빠릅니다."
8435e081c,달이,1,믹스견,암컷,금색,크림색,흰색,중형,중모,완료,완료,미완료,대전,5,3,5,4,세상에서 가장 야무진 달이이를 소개합니다. 금색 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
06bf9e676,깜빡,10,골든 리트리버,수컷,크림색,없음,없음,대형,단모,완료,완료,미완료,울산,5,4,5,4,멋진 포스를 풍기는 깜빡! 하지만 마음은 따뜻한 골든 리트리버 아이랍니다. 크림색 털이 아주 부드러워요.
6f3e5cbd8,라온,2,믹스견,암컷,갈색,없음,없음,중형,단모,완료,완료,미완료,울산,3,3,4,3,라온은(는) 갈색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 믹스견 아이랍니다. 밝은 에너지가 넘쳐요.
1b932e373,다섯,3,믹스견,수컷,갈색,크림색,없음,중형,단모,미완료,완료,완료,경기,5,3,5,4,구조 후 잘 적응 중인 다섯! 믹스견 특유의 영리함과 갈색 털이 돋보입니다. 가족을 기다려요.
c712cfd20,대박,2,믹스견,수컷,검정,갈색,없음,중형,단모,미완료,미완료,미완료,충남,4,3,4,5,멋진 포스를 풍기는 대박! 하지만 마음은 따뜻한 믹스견 아이랍니다. 검정 털이 아주 부드러워요.
0bc3f09be,달님,48,로트와일러,암컷,검정,갈색,금색,대형,중모,완료,완료,미완료,전북,5,4,4,5,처음엔 쑥스러워하지만 금방 친해지는 달님! 검정 털의 소중한 로트와일러 천사를 만나보세요.
32148e0fc,대박,24,스피츠,암컷,흰색,없음,없음,소형,장모,완료,완료,불확실,서울,4,5,3,5,"사람을 정말 좋아하는 대박이에요. 흰색 코트가 멋진 스피츠으로, 순하고 맑은 눈망울을 가졌어요."
12380b365,백구,60,푸들,암컷,크림색,흰색,없음,소형,중모,완료,완료,완료,경기,5,4,4,5,"차분하고 순한 성격의 백구입니다. 크림색 색상의 푸들 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
355743336,꼬미,1,믹스견,암컷,갈색,흰색,없음,중형,중모,미완료,완료,미완료,광주,4,5,4,5,"차분하고 순한 성격의 꼬미입니다. 갈색 색상의 믹스견 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
e42dc215d,누리,120,실키 테리어,암컷,금색,회색,없음,소형,중모,불확실,불확실,불확실,서울,5,4,3,3,세상에서 가장 야무진 누리이를 소개합니다. 금색 색상의 Silky Terrier이며 주사도 씩씩하게 잘 맞는 천사예요.
78ad8f1a2,반짝,1,콜리,수컷,검정,크림색,없음,중형,단모,미완료,미완료,미완료,광주,3,3,3,3,표정은 세상 진지한 반짝! 검정 털이 매력적인 콜리 친구예요. 호기심도 많고 아주 씩씩하답니다.
cb5597fb1,달이,2,믹스견,암컷,검정,갈색,흰색,중형,단모,미완료,미완료,미완료,경기,3,5,5,5,세상에서 가장 야무진 달이이를 소개합니다. 검정 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
e5e083218,피자,2,믹스견,수컷,검정,갈색,흰색,중형,중모,미완료,미완료,미완료,대전,5,4,4,4,간식을 기다릴 때 가장 진지한 피자이에요. 검정 털의 귀여운 믹스견으로 호기심이 아주 많답니다.
81a176a02,누리,24,믹스견,수컷,크림색,흰색,없음,대형,단모,불확실,불확실,불확실,서울,5,3,5,3,"반짝이는 눈망울을 가진 누리. 크림색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
e99c4a55d,바늘,60,시츄,수컷,갈색,크림색,흰색,소형,장모,완료,완료,완료,경기,5,5,4,5,바늘은(는) 갈색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 시츄 아이랍니다. 밝은 에너지가 넘쳐요.
e152df77a,카이,1,믹스견,암컷,갈색,없음,없음,중형,중모,미완료,미완료,미완료,서울,5,5,3,3,표정은 세상 진지한 카이! 갈색 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
35f8b4bff,매끈,2,믹스견,암컷,갈색,크림색,흰색,중형,단모,미완료,미완료,미완료,서울,3,5,4,5,멋진 포스를 풍기는 매끈! 하지만 마음은 따뜻한 믹스견 아이랍니다. 갈색 털이 아주 부드러워요.
d6ad64584,화성,2,믹스견,암컷,검정,갈색,없음,대형,단모,미완료,완료,미완료,경북,5,3,5,3,멋진 포스를 풍기는 화성! 하지만 마음은 따뜻한 믹스견 아이랍니다. 검정 털이 아주 부드러워요.
9e25c09b2,초코,3,믹스견,수컷,크림색,없음,없음,중형,단모,완료,완료,완료,경기,3,3,5,4,초코은(는) 정말 사랑스러운 믹스견 친구예요. 크림색 털이 매력 포인트이며 누구와도 잘 지내요.
3de6bc035,품바,2,믹스견,암컷,검정,갈색,없음,중형,중모,미완료,미완료,미완료,경북,4,5,4,4,"사람을 정말 좋아하는 품바이에요. 검정 코트가 멋진 믹스견으로, 순하고 맑은 눈망울을 가졌어요."
98e211da3,뽀삐,5,믹스견,암컷,검정,갈색,크림색,중형,단모,불확실,불확실,불확실,전남,4,4,5,4,간식을 기다릴 때 가장 진지한 뽀삐이에요. 검정 털의 귀여운 믹스견으로 호기심이 아주 많답니다.
c0771fde0,순둥,1,믹스견,암컷,흰색,없음,없음,중형,중모,완료,완료,미완료,서울,3,4,4,5,처음엔 쑥스러워하지만 금방 친해지는 순둥! 흰색 털의 소중한 믹스견 천사를 만나보세요.
fe3a83fe5,나비,12,슈나우저,수컷,회색,없음,없음,소형,중모,완료,완료,미완료,경북,4,4,3,4,처음엔 쑥스러워하지만 금방 친해지는 나비! 회색 털의 소중한 슈나우저 천사를 만나보세요.
1076dcc35,고래,60,페키니즈,수컷,갈색,크림색,없음,소형,장모,완료,완료,미완료,제주,5,3,3,4,세상에서 가장 야무진 고래이를 소개합니다. 갈색 색상의 페키니즈이며 주사도 씩씩하게 잘 맞는 천사예요.
29bf0cb2c,콩이,5,비글,암컷,갈색,흰색,없음,중형,중모,완료,완료,미완료,경북,4,4,5,3,통통 튀는 걸음걸이가 매력적인 콩이! 멋진 갈색 색을 가진 비글 친구와 평생 가족이 되어주세요.
a2037a7b0,멸치,2,테리어,암컷,갈색,흰색,없음,중형,단모,미완료,완료,미완료,전북,3,5,3,4,구조 후 잘 적응 중인 멸치! 테리어 특유의 영리함과 갈색 털이 돋보입니다. 가족을 기다려요.
385028a00,판다,12,그레이트 데인,암컷,검정,없음,없음,초대형,단모,완료,완료,완료,경기,4,4,5,4,"이 구역의 최고 귀염둥이 판다! 검정 털을 가진 그레이트 데인 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
e92ed29c2,잉어,2,믹스견,수컷,갈색,없음,없음,중형,중모,미완료,미완료,미완료,경기,5,4,4,3,통통 튀는 걸음걸이가 매력적인 잉어! 멋진 갈색 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
f70a1bf5d,순둥,2,믹스견,수컷,갈색,크림색,흰색,소형,중모,미완료,미완료,미완료,경기,4,5,4,3,구조 후 잘 적응 중인 순둥! 믹스견 특유의 영리함과 갈색 털이 돋보입니다. 가족을 기다려요.
da5295aaf,뽀야,2,믹스견,암컷,금색,노란색,없음,중형,중모,미완료,미완료,미완료,경기,3,5,5,5,뽀야은(는) 정말 사랑스러운 믹스견 친구예요. 금색 털이 매력 포인트이며 누구와도 잘 지내요.
6af981c61,라온,60,푸들,수컷,크림색,없음,없음,소형,중모,불확실,불확실,불확실,서울,4,3,5,3,표정은 세상 진지한 라온! 크림색 털이 매력적인 푸들 친구예요. 호기심도 많고 아주 씩씩하답니다.
f67dcb4b3,루나,1,믹스견,수컷,검정,갈색,없음,중형,단모,미완료,미완료,미완료,인천,4,4,4,5,멋진 포스를 풍기는 루나! 하지만 마음은 따뜻한 믹스견 아이랍니다. 검정 털이 아주 부드러워요.
d50b449f0,씽씽,4,믹스견,암컷,크림색,없음,없음,중형,단모,불확실,불확실,미완료,강원,4,4,4,5,씽씽은(는) 크림색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 믹스견 아이랍니다. 밝은 에너지가 넘쳐요.
5d2f7761c,콩이,36,도베르만 핀셔,암컷,검정,갈색,없음,대형,단모,완료,완료,완료,대구,5,5,5,3,"반짝이는 눈망울을 가진 콩이. 검정 색상의 도베르만 핀셔 아이로, 아주 영리하고 배우는 게 빠릅니다."
